Longitude,Latitude,Time,Temperature,elevation
10.1851372,46.6414152,2019-06-30T14:01:05Z,31,1847
10.1806436,46.6281816,2019-06-30T18:01:09Z,21.5,2040
10.1806436,46.6281816,2019-06-30T20:01:10Z,17.5,2040
10.2119593,46.6632352,2019-06-30T22:00:57Z,15,1800
10.2098468,46.6541599,2019-07-01T02:01:09Z,13.5,2124
10.1855484,46.6410509,2019-07-01T06:00:33Z,24.5,1863
10.1855484,46.6410509,2019-07-01T10:01:10Z,26.5,1863
10.2067006,46.6529194,2019-07-01T14:00:36Z,15,2174
10.187775,46.6409248,2019-07-01T18:01:10Z,28.5,1923
10.194773,46.6352427,2019-07-01T20:01:08Z,11.5,1774
10.2133716,46.6634706,2019-07-01T22:01:08Z,12,1810
10.1851734,46.6410165,2019-07-02T02:00:33Z,30,1847
10.1851734,46.6410165,2019-07-02T06:01:10Z,14,1847
10.185206,46.6409841,2019-07-02T10:00:51Z,29,1847
10.1931507,46.6416657,2019-07-02T14:00:33Z,28.5,2037
10.1928304,46.6418764,2019-07-02T18:00:34Z,14,2037
10.1810315,46.653057,2019-07-02T20:00:33Z,14.5,1721
10.1867544,46.6356443,2019-07-02T22:01:08Z,14.5,1720
10.17415,46.6329857,2019-07-03T02:01:08Z,9.5,2029
10.1873157,46.640326,2019-07-03T06:00:33Z,28,1914
10.1849695,46.6418234,2019-07-03T10:00:36Z,26,1856
10.1944146,46.6416454,2019-07-03T14:00:35Z,28,2062
10.1944146,46.6416454,2019-07-03T18:01:10Z,16,2062
10.1936434,46.661523,2019-07-03T20:01:08Z,12.5,1879
10.1947635,46.6425198,2019-07-03T22:00:33Z,9,2073
10.1851526,46.6407857,2019-07-04T02:00:33Z,22,1839
10.1851312,46.6407567,2019-07-04T06:00:53Z,25.5,1839
10.1850204,46.6407995,2019-07-04T10:01:03Z,29,1839
10.1850204,46.6407995,2019-07-04T14:01:10Z,18.5,1839
10.1850181,46.6408919,2019-07-04T18:00:33Z,14,1839
10.1891544,46.6404041,2019-07-04T20:01:02Z,11.5,1967
10.1948162,46.6424633,2019-07-04T22:00:33Z,7,2073
10.1948162,46.6424633,2019-07-05T02:01:10Z,12,2073
10.1948162,46.6424633,2019-07-05T06:01:10Z,34.5,2073
10.1849509,46.6407104,2019-07-05T10:01:03Z,29.5,1839
10.1850999,46.6409225,2019-07-05T14:00:33Z,32,1839
10.1833947,46.6504762,2019-07-05T18:01:10Z,14.5,1768
10.0597711,46.619917,2019-07-05T20:01:10Z,13.5,2714
10.1853312,46.6411178,2019-07-05T22:01:04Z,15.5,1847
10.184939,46.6407143,2019-07-06T02:00:33Z,17,1839
10.1894024,46.6409799,2019-07-06T06:01:07Z,30,1975
10.1849927,46.6407408,2019-07-06T10:00:53Z,29.5,1839
10.19325,46.6410733,2019-07-06T14:00:59Z,22,2038
10.19325,46.6410733,2019-07-06T18:01:10Z,12.5,2038
10.19325,46.6410733,2019-07-06T20:01:10Z,10.5,2038
10.19325,46.6410733,2019-07-06T22:01:10Z,10.5,2038
10.1976864,46.6439691,2019-07-07T02:00:35Z,20,2164
10.1967113,46.6462002,2019-07-07T06:01:05Z,18.5,2170
10.1879418,46.6435343,2019-07-07T10:01:03Z,20.5,1943
10.1879418,46.6435343,2019-07-07T14:01:10Z,17,1943
10.1879418,46.6435343,2019-07-07T18:01:10Z,20,1943
10.1938211,46.6423949,2019-07-07T20:00:34Z,7.5,2065
10.194869,46.643634,2019-07-07T22:00:12Z,8,2097
10.194869,46.643634,2019-07-08T02:01:10Z,8,2097
10.1866633,46.636457299999996,2019-07-08T06:01:10Z,25.5,1777
10.1884398,46.6422899,2019-07-08T10:01:04Z,22.5,1935
10.1906036,46.6381363,2019-07-08T14:00:33Z,16,1872
10.1906036,46.6381363,2019-07-08T18:01:10Z,12,1872
10.194604,46.6435734,2019-07-08T20:00:33Z,9,2097
10.1950686,46.6423656,2019-07-08T22:00:36Z,8,2080
10.1788182,46.6492865,2019-07-09T02:01:06Z,21.5,1828
10.1857422,46.6412648,2019-07-09T06:01:12Z,21,1863
10.1849204,46.6419579,2019-07-09T10:00:33Z,30.5,1856
10.2084361,46.6295789,2019-07-09T14:01:10Z,17.5,2100
10.2333351,46.6382352,2019-07-09T18:00:35Z,11.5,2284
10.2004536,46.6552908,2019-07-09T20:00:33Z,10,1958
10.2004536,46.6552908,2019-07-09T22:01:10Z,8.5,1958
10.2004536,46.6552908,2019-07-10T02:01:10Z,7.5,1958
10.192245,46.641434,2019-07-10T06:01:04Z,23,2026
10.1921923,46.6414473,2019-07-10T10:00:33Z,29.5,2026
10.1949685,46.6415253,2019-07-10T14:00:33Z,26,2060
10.1949685,46.6415253,2019-07-10T18:01:10Z,9,2060
10.1951841,46.6436987,2019-07-10T20:00:51Z,8,2108
10.1853886,46.6411912,2019-07-10T22:00:35Z,17.5,1847
10.1851357,46.6405537,2019-07-11T02:01:05Z,20.5,1839
10.1851357,46.6405537,2019-07-11T06:01:10Z,16,1839
10.1856596,46.6420524,2019-07-11T10:00:34Z,29,1868
10.1870752,46.6420479,2019-07-11T14:00:36Z,23,1899
10.1870752,46.6420479,2019-07-11T18:01:10Z,10.5,1899
10.1948314,46.642481,2019-07-11T20:00:33Z,6.5,2073
10.1777681,46.6391999,2019-07-11T22:01:10Z,7.5,1696
10.1801036,46.6456399,2019-07-12T02:01:10Z,8,1807
10.1801036,46.6456399,2019-07-12T06:01:10Z,29,1807
10.1851403,46.6405234,2019-07-12T10:00:34Z,27,1839
10.1948572,46.6416834,2019-07-12T14:01:06Z,17,2062
10.1948572,46.6416834,2019-07-12T18:01:10Z,17,2062
10.1948572,46.6416834,2019-07-12T20:01:10Z,10,2062
10.182794,46.6423418,2019-07-12T22:01:08Z,20.5,1827
10.205132,46.6511867,2019-07-13T02:01:06Z,6,2208
10.205132,46.6511867,2019-07-13T06:01:10Z,15.5,2208
10.1854598,46.6412418,2019-07-13T10:00:33Z,32,1847
10.2128853,46.6341802,2019-07-13T14:01:06Z,12.5,2201
10.2412346,46.6456328,2019-07-13T18:00:36Z,6.5,2309
10.1976725,46.6571049,2019-07-13T20:01:10Z,10,1832
10.1976725,46.6571049,2019-07-13T22:01:10Z,11.5,1832
10.1846389,46.641302,2019-07-14T02:00:52Z,22,1837
10.1852238,46.6413609,2019-07-14T06:00:59Z,25.5,1847
10.1814131,46.6493243,2019-07-14T10:00:51Z,34,1811
10.1814131,46.6493243,2019-07-14T14:01:10Z,15,1811
10.2086976,46.6642239,2019-07-14T18:01:05Z,13,1793
10.2693021,46.6149108,2019-07-14T20:01:07Z,10,2343
10.2693021,46.6149108,2019-07-14T22:01:10Z,9.5,2343
10.1873525,46.6458575,2019-07-15T02:01:07Z,21,1975
10.1810664,46.6153588,2019-07-15T06:01:04Z,25.5,1837
10.1853125,46.6415281,2019-07-15T10:00:53Z,26,1847
10.1853125,46.6415281,2019-07-15T14:01:10Z,17.5,1847
10.1853125,46.6415281,2019-07-15T18:01:10Z,9.5,1847
10.1853125,46.6415281,2019-07-15T20:01:10Z,10,1847
10.2020498,46.6499364,2019-07-15T22:00:35Z,6,2163
10.1845957,46.6416136,2019-07-16T02:00:33Z,17,1848
10.1845957,46.6416136,2019-07-16T06:01:10Z,10,1848
